,genre_name,lyrics_cleaned
0,country,poor me  pour me another drink  cause i dont wanna feel a thing  no more  hell nah  i just wanna sip it til the pain wears off  poor me  pour me another round  lineem up and knockem down  two more  lets go  cause i aint ever hurt like this before  dont wanna think about her  or wear a ring without her  dont wanna hit the karaoke bar  cant sing without her  so make them drinks strong  cause brother shes gone  and if im ever gonna move on  ima need some whiskey glasses  cause i dont wanna see the truth  shes probly makin out on the couch right now with someone new  yea ima need some whiskey glasses  if im gonna make it through  if ima be single ima need a double shot of that heartbreak proof  and see the world through whiskey glasses  see the world through whiskey glasses  last call  i swear thisll be my last call  now i aint drunk dialin no more at 3am  mr  bartender hit me again  dont wanna think about her  or wear a ring without her  dont wanna hit the karaoke bar  cant sing without her  so make them drinks strong  cause brother shes gone  and if im ever gonna move on  ima need some whiskey glasses  cause i dont wanna see the truth  shes probly makin out on the couch right now with someone new  yea ima need some whiskey glasses  if im gonna make it through  if ima be single ima need a double shot of that heartbreak proof  and see the world through whiskey glasses  oh see the world through whiskey glasses  yeah  lineem up  lineem up  lineem up  lineem up  knock em back  knock em back  knockem back  knockem back  fillem up  fillem up  fillem up  fillem up  cause if she aint ever comin back  lineem up  lineem up  lineem up  lineem up  knockem back  knockem back  knockem back  knockem back  fillem up  fillem up  fillem up  fillem up  cause if she aint ever comin back  ima need some whiskey glasses  cause i dont wanna see the truth  shes probly makin out on the couch right now with someone new  yea ima need some whiskey glasses  if im gonna make it through  if ima be single ima need a double shot of that heartbreak proof  and see the world through whiskey glasses  ohh see the world through whiskey glasses  yeah  see the world through whiskey glasses  yeah
1,country,we used to chase that chattanooga freight  couple of kids in a chevrolet  catch a little air when we cross the tracks  sipping on something from a paper sack  you hang your shirt on that maple limb  slipping through the moon to the river bend  wasnt very long til i was jumping in  jumping in  i guess im still doing now what i was doing then  chasing you like a shot of whiskey  burning going down  burning going down  chasing you like those goodbye taillights  heading west to anywhere out of this no where town  chasing that freedom  chasing that feeling that got gone too soon  chasing that you and me  i only see in my rear view  yeah im laying here tonight holding someone new  still chasing you  still chasing you  you always used to talk about la  i heard you got as far as santa fe  oh wait  you know i tried to track you down  i only got as far as guitar town  singing about a girl i used to know  used to know  well you should know that i havent given up  im just on your radio  chasing you like a shot of whiskey  burning going down  burning going down  chasing you like those goodbye taillights  heading west to anywhere out of this no where town  chasing that freedom  chasing that feeling that got gone too soon  chasing that you and me  i only see in my rear view  yeah im laying here tonight holding someone new  still chasing you  still chasing you  chasing you like a shot of whiskey  burning going down  burning going down  chasing you like those good bye taillights  heading west to anywhere out of this no where town  chasing that freedom  chasing that feeling that got gone too soon  chasing that you and me  i only see in my rear view  yeah im laying here tonight holding someone new  still chasing you  still chasing you  still chasing you  still chasing you
2,country,girl  our mamas are best friends and so are we  the whole towns rooting for us like the home team  most likely to settle down  plant a few roots real deep and let em grow  but we cant stop this real world from spinnin us  your bright lights called  i dont blame you for pickin up  your big dream bags are all packed up and ready to go  but i just need you to know  that i love you more than a california sunset  more than a beer when you aint twenty one yet  more than a sunday morning lord  turnin some poor lost souls round  and hallelujah bound  yeah  i love you more than the feeling when the bass hits the hook  when the guy gets the girl at the end of the book  but  baby  this might be the last time i get to lay you down  cause i cant love you more than my hometown  i aint the runaway kind  i cant change that  my hearts stuck in these streets like the train tracks  city sky aint the same black  aint that a map dot shame  man  to think that  i love you more than a california sunset  more than a beer when you aint twenty one yet  more than a sunday morning lord  turnin some poor lost souls around  and hallelujah bound  yeah  i love you more than the feeling when the bass hits the hook  when the guy gets the girl at the end of the book  but  baby  this might be the last time i get to lay you down  cause i cant love you more than my hometown  yeah  you got a wild in your eyes that i just wasnt born with  im a same gas station cup of coffee in the mornin  i need a house on the hill  girl  not in em  so hang onto these words til them avenues help you forget em  cause i love you more than a california sunset  i love you more in a twenty dollar sundress  hate that loaded down car you got your keys in  girl  but i hate even more that youre leavin  cause i love you more than the feeling when the bass hits the hook  when the guy gets the girl at the end of the book  but that aint you and me so i guess ill see you around  cause i cant love you more than my hometown  love you more than my hometown  love you more than my hometown  love you more  baby  love you more
3,country,i  i hope she makes you smile  the way you made me smile  on the other end of a phone  in the middle of the highway driving alone  oh  baby  i  i hope you hear a song  that makes you sing along  and gets you thinking about her  then the last several miles turns into a blur  yeah  i hope you both feel the sparks by the end of the drive  i hope you know shes the one by the end of the night  i hope you never ever felt more free  tell your friends that youre so happy  i hope she comes along and wrecks every one of your plans  i hope you spend your last dime to put a rock on her hand  i hope shes wilder than your wildest dreams  shes everything youre ever gonna need  and then i hope she cheats  like you did on me  and then i hope she cheats  like you did on me  yeah  babe  i hope she shows up in a 2 am pic from her friend  hanging on to a guy  and you just aint him  i hope you stay up all night all alone waiting by the phone  and then she calls  and  baby  i  i hope you work it out  forgive and just about  forget and take her on a first date again  and when you lean in for a kiss  i hope you both feel the sparks by the end of the drive  i hope you know shes the one by the end of the night  i hope you never ever felt more free  tell your friends that youre so happy  i hope she comes along and wrecks every one of your plans  i hope you spend your last dime to put a rock on her hand  i hope shes wilder than your wildest dreams  shes everything youre ever gonna need  and then i hope she cheats  like you did on me  and then i hope she cheats  like you did on me  i hope what goes  comes all the way around  i hope she makes you feel the same way about her that i feel about you right now  i hope you both feel the sparks by the end of the drive  i hope you know shes the one by the end of the night  i hope you never ever felt more free  tell your friends that youre so happy  i hope she comes along and wrecks every one of your plans  i hope you spend your last dime to put a rock on her hand  i hope shes wilder than your wildest dreams  shes everything youre ever gonna need  and then i hope she cheats  like you did on me  and then i hope she cheats  like you did on me  like you did on me
4,country,i  i hope she makes you smile  the way you made me smile  on the other end of a phone  in the middle of the highway driving alone  oh  baby  i  i hope you hear a song  that makes you sing along  and gets you thinking about her  then the last several miles turns into a blur  yeah  i hope you both feel the sparks by the end of the drive  i hope you know shes the one by the end of the night  i hope you never ever felt more free  tell your friends that youre so happy  i hope she comes along and wrecks every one of your plans  i hope you spend your last dime to put a rock on her hand  i hope shes wilder than your wildest dreams  shes everything youre ever gonna need  and then i hope she cheats  like you did on me  and then i hope she cheats  like you did on me  yeah  babe  i hope she shows up in a 2 am pic from her friend  hanging on to a guy  and you just aint him  i hope you stay up all night all alone waiting by the phone  and then she calls  and  baby  i  i hope you work it out  forgive and just about  forget and take her on a first date again  and when you lean in for a kiss  i hope you both feel the sparks by the end of the drive  i hope you know shes the one by the end of the night  i hope you never ever felt more free  tell your friends that youre so happy  i hope she comes along and wrecks every one of your plans  i hope you spend your last dime to put a rock on her hand  i hope shes wilder than your wildest dreams  shes everything youre ever gonna need  and then i hope she cheats  like you did on me  and then i hope she cheats  like you did on me  i hope what goes  comes all the way around  i hope she makes you feel the same way about her that i feel about you right now  i hope you both feel the sparks by the end of the drive  i hope you know shes the one by the end of the night  i hope you never ever felt more free  tell your friends that youre so happy  i hope she comes along and wrecks every one of your plans  i hope you spend your last dime to put a rock on her hand  i hope shes wilder than your wildest dreams  shes everything youre ever gonna need  and then i hope she cheats  like you did on me  and then i hope she cheats  like you did on me  like you did on me
5,country,used to spend my nights out in a barroom  liquor was the only love id known  but you rescued me from reachin for the bottom  and brought me back from being too far gone  youre as smooth as tennessee whiskey  youre as sweet as strawberry wine  youre as warm as a glass of brandy  and honey  i stay stoned on your love all the time  ive looked for love in all the same old places  found the bottom of a bottle always dry  but when you poured out your heart i didnt waste it  cause theres nothing like your love to get me high  youre as smooth as tennessee whiskey  youre as sweet as strawberry wine  youre as warm as a glass of brandy  and honey  i stay stoned on your love all the time  youre as smooth as tennessee whiskey  youre as sweet as strawberry wine  youre as warm as a glass of brandy  and honey  i stay stoned on your love all the time  youre as smooth as tennessee whiskey  tennessee whiskey  tennessee whiskey  youre as smooth as tennessee whiskey  tennessee whiskey  tennessee whiskey
6,country,you know i like my chicken fried  and cold beer on a friday night  a pair of jeans that fit just right  and the radio up  well i was raised up beneath the shade of a georgia pine  and thats home you know  sweet tea  pecan pie  and homemade wine  where the peaches grow  and my house its not much to talk about  but its filled with love thats grown in southern ground  and a little bit of chicken fried  cold beer on a friday night  a pair of jeans that fit just right  and the radio up  i love to see the sun rise  see the love in my womans eyes  feel the touch of a precious child  and know a mothers love  its funny how its the little things in life  that mean the most  not where you live  what you drive  or the price tag on your clothes  theres no dollar sign  on a peace of mind  this ive come to know  so if you agree  have a drink with me  raise your glasses for a toast  to a little bit of chicken fried  and cold beer on a friday night  a pair of jeans that fit just right  and the radio up  i love to see the sun rise  see the love in my womans eyes  feel the touch of a precious child  and know a mothers love  i thank god for my life  and for the stars and stripes  may freedom forever fly  let it ring  salute the ones who died  the ones that give their lives  so we dont have to sacrifice  all the things we love  like our chicken fried  and cold beer on a friday night  a pair of jeans that fit just right  and the radio up  i love to see the sun rise  see the love in my womans eyes  feel the touch of a precious child  and know a mothers love  get a little chicken fried  and cold beer on a friday night  a pair of jeans that fit just right  and the radio up  i love to see the sun rise  see the love in my womans eyes  feel the touch of a precious child  and know a mothers love
7,country,a heart on the run keeps a hand on the gun you cant trust anyone  i was so sure what i needed was more tried to shoot out the sun  days when we raged  we flew off the page such damage was done  but i made it through  cause somebody knew i was meant for someone  so girl  leave your boots by the bed we aint leaving this room  till someone needs medical help or the magnolias bloom  its cold in this house and i aint going out to chop wood  so cover me up and know youre enough to use me for good  i put your faith to the test when i tore off your dress in richmond on high  but i sobered up and i swore off that stuff forever  this time  and the old lovers sing i thought itd be me who helped him get home
8,country,this is perfect  come kiss me one more time  i couldnt dream this up  even if i tried  you and me in this moment  feels like magic  dont it   im right where i wanna be  everybodys talking bout heaven  like they just cant wait to go  saying how its gonna be so good  so beautiful  lying next to you  in this bed with you  i aint convinced  cause i dont know how  i dont know how heaven  heaven  could be better than this  i swear that youre an angel  sent to this world  what did i do right to deserve you  girl   i could stay here forever  id be fine if we never  had to even leave this room  everybodys talking bout heaven  like they just cant wait to go  saying how its gonna be so good  so beautiful  lying next to you  in this bed with you  i aint convinced  cause i dont know how  i dont know how heaven  heaven  could be better than this  could be better than this  everybodys talking bout heaven  like they just cant wait to go  saying how its gonna be so good  so beautiful  lying next to you  in this bed with you  i aint convinced  i dont know how  i dont know how heaven  heaven  could be better than this  could be better than this  i swear this is perfect  come kiss me one more time
9,country,she was sittin all alone over on the tailgate  tan legs swingin by a georgia plate  i was lookin for her boyfriend  thinkin  no way she aint got one 
