artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
yiruma,river flows in you,64rL48E6xWMIXdpcFDEiB8,https://open.spotify.com/artist/0fauHpmSHwodVYIjTqOGHz,https://open.spotify.com/track/64rL48E6xWMIXdpcFDEiB8,classical,0.314,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.277,188787
dragonforce,through the fire and flames,6nnacTL5on2aVsRhVDNUSo,https://open.spotify.com/artist/2pH3wEn4eYlMMIIQyKPbVR,https://open.spotify.com/track/6nnacTL5on2aVsRhVDNUSo,classical,0.113,0.951,0,-4.743,0,0.129,0.00176,0.00718,0.334,0.139,200.024,441560
johann sebastian bach,"cello suite no. 1 in g major, bwv 1007: i. prélude",61dYvvfIRtIDFuqZypPAta,https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408,https://open.spotify.com/track/61dYvvfIRtIDFuqZypPAta,classical,0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,151480
camille saint-saëns,"the carnival of the animals, r. 125: xiii. the swan (arr. for cello and piano)",0jOnZhF75V68VsBObWx2XO,https://open.spotify.com/artist/436sYg6CZhNefQJogaXeK0,https://open.spotify.com/track/0jOnZhF75V68VsBObWx2XO,classical,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267
ludwig van beethoven,"sonata no. 14 ""moonlight"" in c-sharp minor"", op. 27 no. 2: i. adagio sostenuto",3DNRdudZ2SstnDCVKFdXxG,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/track/3DNRdudZ2SstnDCVKFdXxG,classical,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427
claude debussy,"clair de lune, l. 32",5u5aVJKjSMJr4zesMPz7bL,https://open.spotify.com/artist/1Uff91EOsvd99rtAupatMP,https://open.spotify.com/track/5u5aVJKjSMJr4zesMPz7bL,classical,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,268000
jef martens,watching over you,6kWVRQKxzpOj8r06pps6O3,https://open.spotify.com/artist/7t8PD6GvlbqByM0g7ysSHH,https://open.spotify.com/track/6kWVRQKxzpOj8r06pps6O3,classical,0.313,0.0229,1,-26.35,1,0.0288,0.985,0.938,0.107,0.065,64.387,138125
lambert,gdansk,5kRBxcHNbWOUFvv15I0dMP,https://open.spotify.com/artist/6pSQcy8935ABNiK2qOpOlK,https://open.spotify.com/track/5kRBxcHNbWOUFvv15I0dMP,classical,0.444,0.0508,5,-28.789,1,0.0395,0.993,0.894,0.0983,0.271,132.664,147315
jef martens,when she flows,0kI6c7wGZ5h3njJ5wF4nMw,https://open.spotify.com/artist/7t8PD6GvlbqByM0g7ysSHH,https://open.spotify.com/track/0kI6c7wGZ5h3njJ5wF4nMw,classical,0.365,0.116,3,-27.249,0,0.0302,0.984,0.915,0.0917,0.193,126.305,130125
erik satie,gymnopédie no. 1,5NGtFXVpXSvwunEIGeviY3,https://open.spotify.com/artist/459INk8vcC0ebEef82WjIK,https://open.spotify.com/track/5NGtFXVpXSvwunEIGeviY3,classical,0.469,0.0128,7,-36.856,1,0.119,0.994,0.937,0.0941,0.354,72.765,205867
